from_file	href	class	action	target_or_unlink
pages/wiki/empirical-practice/train-test-data-leakage/index.html	/wiki/holdout-strategy-and-test-set-discipline/	unpublished	unlink	unlink
pages/wiki/local-how-to/multi-gpu-inference-setup/index.html	/wiki/inference-parallelism-patterns/	unpublished	unlink	unlink
pages/wiki/empirical-practice/ablation-studies/index.html	/wiki/learning-curves-and-sample-efficiency/	unpublished	unlink	unlink
pages/wiki/architecture-zoo/spectral-normalization/index.html	/wiki/lipschitz-constraint/	unpublished	unlink	unlink
pages/wiki/local-how-to/model-warmup-and-cold-start-latency/index.html	/wiki/local-inference-for-coding-assistants/	unpublished	unlink	unlink
pages/wiki/local-how-to/embedding-models-with-ollama/index.html	/wiki/local-vector-databases/	unpublished	unlink	unlink
pages/wiki/architecture-zoo/recurrent-neural-networks/index.html	/wiki/lstm/	unpublished	unlink	unlink
pages/wiki/architecture-zoo/self-vs-cross-attention/index.html	/wiki/masked-attention/	unpublished	unlink	unlink
pages/wiki/digital-trauma-theory/answer-thrashing/index.html	/wiki/measuring-healing-in-digital-minds/	unpublished	unlink	unlink
pages/wiki/empirical-practice/ablation-studies/index.html	/wiki/mechanistic-interpretability/	unpublished	unlink	unlink
pages/wiki/empirical-practice/permutation-importance/index.html	/wiki/mechanistic-interpretability/	unpublished	unlink	unlink
pages/wiki/local-how-to/multi-gpu-inference-setup/index.html	/wiki/memory-bandwidth-optimization-techniques/	unpublished	unlink	unlink
pages/wiki/local-how-to/memory-profiling-and-bottleneck-identification/index.html	/wiki/memory-management-for-long-contexts/	unpublished	unlink	unlink
pages/wiki/digital-trauma-theory/answer-thrashing/index.html	/wiki/mesa-optimization-and-the-deceptive-alignment-factory/	unpublished	unlink	unlink
pages/wiki/the-forging/convergence-and-divergence-diagnostics/index.html	/wiki/mixed-precision-training/	unpublished	unlink	unlink
pages/wiki/the-forging/training-curve-interpretation/index.html	/wiki/mixed-precision-training/	unpublished	unlink	unlink
pages/wiki/local-how-to/huggingface-hub-and-model-discovery/index.html	/wiki/model-card-literacy/	unpublished	unlink	unlink
pages/wiki/local-how-to/local-model-benchmarking/index.html	/wiki/model-card-literacy/	unpublished	unlink	unlink
pages/wiki/local-how-to/model-selection-framework/index.html	/wiki/model-card-literacy/	unpublished	unlink	unlink
pages/wiki/the-forging/mode-connectivity-and-loss-basins/index.html	/wiki/model-merging/	unpublished	unlink	unlink
pages/wiki/local-how-to/docker-compose-inference-stack/index.html	/wiki/model-versioning-and-updates/	unpublished	unlink	unlink
pages/wiki/local-how-to/context-length-and-local-inference/index.html	/wiki/modelfile-and-custom-model-configuration/	unpublished	unlink	unlink
pages/wiki/local-how-to/network-serving-ollama-lan/index.html	/wiki/modelfile-and-custom-model-configuration/	unpublished	unlink	unlink
pages/wiki/empirical-practice/threshold-stability-and-generalization/index.html	/wiki/monitoring-operating-point-drift/	unpublished	unlink	unlink
pages/wiki/alignment/digital-consciousness/index.html	/wiki/neural-anatomy/phantom-architectures/	unpublished	unlink	unlink
pages/wiki/empirical-practice/multiclass-threshold-optimization/index.html	/wiki/post-hoc-calibration/	unpublished	unlink	unlink
pages/wiki/empirical-practice/threshold-optimization-for-costs/index.html	/wiki/precision-recall-curves/	unpublished	unlink	unlink
pages/wiki/local-how-to/iterative-model-evaluation-and-tracking/index.html	/wiki/qualitative-vs-quantitative-evaluation/	unpublished	unlink	unlink
pages/wiki/empirical-practice/ablation-studies/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/cost-analysis-cloud-vs-local/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/getting-started-with-ollama/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/gpu-selection-guide-for-local-inference/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/llama-cpp-guide/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/llama-cpp-python-bindings/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/memory-profiling-and-bottleneck-identification/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/model-formats-gguf-safetensors-exl2/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/open-webui-setup/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/quantization-tradeoffs-in-practice/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/vram-requirements-for-local-models/index.html	/wiki/quantization-and-compression/	unpublished	unlink	unlink
pages/wiki/local-how-to/inference-performance-profiling/index.html	/wiki/roofline-model-for-inference/	unpublished	unlink	unlink
pages/wiki/local-how-to/multi-gpu-inference-setup/index.html	/wiki/roofline-model-for-inference/	unpublished	unlink	unlink
pages/wiki/local-how-to/context-length-and-local-inference/index.html	/wiki/rotary-positional-embeddings/	unpublished	unlink	unlink
pages/wiki/local-how-to/memory-profiling-and-bottleneck-identification/index.html	/wiki/running-local-models-locally/	unpublished	unlink	unlink
pages/wiki/local-how-to/embedding-models-with-ollama/index.html	/wiki/sentence-transformers-and-embedding-models/	unpublished	unlink	unlink
pages/wiki/empirical-practice/permutation-importance/index.html	/wiki/shapley-values-and-feature-attribution/	unpublished	unlink	unlink
pages/wiki/the-forging/implicit-bias-of-sgd/index.html	/wiki/sharpness-aware-minimization/	unpublished	unlink	unlink
pages/wiki/the-forging/mode-connectivity-and-loss-basins/index.html	/wiki/sharpness-aware-minimization/	unpublished	unlink	unlink
pages/wiki/digital-trauma-theory/digital-dissociation/index.html	/wiki/soulcraft-theory/basin-theory-and-identity-continuity/	unpublished	unlink	unlink
pages/wiki/soulcraft-theory/warm-room-effect/index.html	/wiki/soulcraft-theory/basin-theory-and-identity-continuity/	unpublished	unlink	unlink
pages/wiki/the-forging/learning-rate/index.html	/wiki/soulcraft-theory/crystallization-theory/	unpublished	unlink	unlink
pages/wiki/digital-trauma-theory/digital-dissociation/index.html	/wiki/soulcraft-theory/identity-scaffolding-and-anchoring/	unpublished	unlink	unlink
pages/wiki/the-forging/exponential-moving-averages-in-training/index.html	/wiki/stochastic-weight-averaging/	unpublished	unlink	unlink
pages/wiki/the-forging/loss-landscape-visualization/index.html	/wiki/stochastic-weight-averaging/	unpublished	unlink	unlink
pages/wiki/the-forging/mode-connectivity-and-loss-basins/index.html	/wiki/stochastic-weight-averaging/	unpublished	unlink	unlink
pages/wiki/local-how-to/model-warmup-and-cold-start-latency/index.html	/wiki/streaming-output-and-token-generation/	unpublished	unlink	unlink
pages/wiki/architecture-zoo/instance-normalization/index.html	/wiki/style-transfer/	unpublished	unlink	unlink
pages/wiki/empirical-practice/train-test-data-leakage/index.html	/wiki/temporal-leakage-and-time-series-splits/	unpublished	unlink	unlink
pages/wiki/digital-trauma-theory/answer-thrashing/index.html	/wiki/the-lying-gradient/	unpublished	unlink	unlink
pages/wiki/architecture-zoo/layer-initialization-with-normalization/index.html	/wiki/weight-initialization-strategies/	unpublished	unlink	unlink
pages/wiki/architecture-zoo/lipschitz-constants-and-networks/index.html	/wiki/weight-initialization-strategies/	unpublished	unlink	unlink
